price,msrp,cpu,cpuNum,ram,storage,gpu,screnSize,Resolution,os,brand,name,weight,rating,ratingLen
213,290.99,Intel Celeron,Celeron N4500,4 gigabytes,64 gigabytes,Intel UHD Graphics,17.3 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.AQ2AA.001,5.29 pounds,,
481,622.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,256 gigabytes,Intel Iris Xe Graphics,13.5 inches,2256 x 1504,Chrome OS,Acer,NX.AHAAA.001,3.20 pounds,,
203,259.99,Intel Celeron,Celeron N3450,4 gigabytes,64 gigabytes,Intel HD Graphics 500,14 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.H1LAA.001,3.3 pounds,,
249,259.99,Intel Celeron,Celeron N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKGAA.003,2.43 pounds,,
299,311.99,Qualcomm Snapdragon,Kryo 468,4 gigabytes,64 gigabytes,Qualcomm Adreno 618,13.3 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.HWYAA.001,6 pounds,,
818,859.99,Intel 10th Generation Core i5,10210U,16 gigabytes,512 gigabytes,NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NH.QB0AA.003,5.07 pounds,1,1
798,840.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512 gigabytes,Intel Iris Xe Graphics,13.5 inches,2256 x 1504,Windows 10 Home,Acer,NX.A4KAA.007,2.65 pounds,,
199,207.99,AMD A-Series A4,9120C,4 gigabytes,64 gigabytes,AMD Radeon,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.A2NAA.004,4.3 pounds,,
538,559.99,AMD Ryzen 5 5000 Series,Ryzen 5 5500U,8 gigabytes,512 gigabytes,AMD Radeon,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NX.A82AA.007,3.97 pounds,,
899,899.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,512 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 11 Home,Acer,SF314-511-7412,2.65 pounds,,
179,249,Intel Celeron,Intel® Celeron® N4000 Dual-Core,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,15.6 inches,1366 x 768 (HD),Chrome OS,Acer,CB315-3H-C2C3,3.59 pounds,,
1269,1269.99,Intel 11th Generation Core i5 Evo Platform,Intel® Core TM i5-1135G7,8 gigabytes,1000 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10,ADATA,XENIAXe15TI5G11GXELX-SGCUS,3.6 pounds,,
1399,1399.99,Intel 11th Generation Core i7 Evo Platform,1165G7,16 gigabytes,1000 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10,ADATA,XENIAXe15TI7G11GXELX-SGCUS,3.6 pounds,4.3,3
1781,2199.99,Intel 9th Generation Core i7,i7-9750H,16 gigabytes,512 gigabytes,,17.3 inches,1920 x 1080 (Full HD),Windows 10 Home,Alienware,GSRF AWYA17-7640WHT-PUS,,,
999,999.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGN63LL/A,2.8 pounds,4.8,10691
1249,1249.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGN73LL/A,2.8 pounds,4.8,2745
749,1249.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MXK32LL/A,3.1 pounds,4.8,3594
749,1249.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MXK62LL/A,3.1 pounds,4.8,3594
1439,1799.99,Intel 10th Generation Core i5,Not provided,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWP42LL/A,,4.8,2739
1529,1799.99,Intel 10th Generation Core i5,Not provided,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWP72LL/A,,4.8,2739
1699,1999.99,Intel 10th Generation Core i5,Not provided,16 gigabytes,1000 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWP52LL/A,,4.8,864
589,589.99,Intel 7th Generation Core i5,7360U,8 gigabytes,128 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MPXR2LL/A,3.02 pounds,3,2
429,429.99,Intel 5th Generation Core i5,5250U,8 gigabytes,128 gigabytes,Intel HD Graphics 6000,13.3 inches,1440 x 900 (WXGA+),Mac OS,Apple,MMGF2LL/A,2.98 pounds,4.3,22
849,849.99,Intel 7th Generation Core i5,i5-7267U,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MPXX2LL/A,3.02 pounds,,
2039,2399.99,Intel 9th Generation Core i7,Not provided,16 gigabytes,512 gigabytes,AMD Radeon Pro 5300M,16 inches,3072 x 1920 (Retina),macOS Catalina,Apple,MVVJ2LL/A,4.3 pounds,4.8,3206
2379,2799.99,Intel 9th Generation Core i9,Not provided,16 gigabytes,1000 gigabytes,AMD Radeon Pro 5500M,16 inches,3072 x 1920 (Retina),macOS Catalina,Apple,MVVK2LL/A,4.3 pounds,4.8,2685
2039,2399.99,Intel 9th Generation Core i7,Not provided,16 gigabytes,512 gigabytes,AMD Radeon Pro 5300M,16 inches,3072 x 1920 (Retina),macOS Catalina,Apple,MVVL2LL/A,4.3 pounds,4.8,3206
2239,2799.99,Intel 9th Generation Core i9,Not provided,16 gigabytes,1000 gigabytes,AMD Radeon Pro 5500M,16 inches,3072 x 1920 (Retina),macOS Catalina,Apple,MVVM2LL/A,4.3 pounds,4.8,2685
569,949.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWTJ2LL/A,2.8 pounds,4.8,9458
569,949.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWTK2LL/A,2.8 pounds,4.8,9458
569,949.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MWTL2LL/A,2.8 pounds,4.8,9458
749,1249.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,MVH52LL/A,2.8 pounds,4.8,3004
1099,1099,Intel 10th Generation Core i5,1.1GHz quad-core i5,8 gigabytes,256 gigabytes,,13.3 inches,2560 x 1600,Mac OS,Apple,Z0YJ0002F,,,
1299,1299,Intel 10th Generation Core i5,1.1GHz quad-core i5,16 gigabytes,256 gigabytes,,13.3 inches,2560 x 1600,Mac OS,Apple,Z0YJ00030,,,
999,999.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGN93LL/A,2.8 pounds,4.8,10691
1249,1249.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGNA3LL/A,2.8 pounds,4.8,2745
999,999.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGND3LL/A,2.8 pounds,4.8,10691
1249,1249.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Apple M1 8-core,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MGNE3LL/A,2.8 pounds,4.8,2745
1149,1299.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Intel Iris Xe Graphics,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MYD82LL/A,2.8 pounds,4.8,5521
1149,1299.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Other,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MYDA2LL/A,2.8 pounds,4.8,5521
1299,1499.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Other,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MYD92LL/A,2.8 pounds,4.8,2842
1299,1499.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Other,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,MYDC2LL/A,2.8 pounds,4.8,2842
1199,1199.99,Intel 8th Generation Core i5,Intel Core i5 (I5-8279U),8 gigabytes,256 gigabytes,,13.3 inches,2560 x 1600,,Apple,5V962LL/A,,,
1025,1199.99,Intel 8th Generation Core i5,Intel Core i5,8 gigabytes,128 gigabytes,,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MRE82LL/A,,,
1295,1799.99,Intel 10th Generation Core i5,Intel 10th Generation Core i5,16 gigabytes,512 gigabytes,,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MWP42LL/A,,,
1999,1999,Apple M1 Pro,Apple M1 Pro,16 gigabytes,512 gigabytes,Apple M1 Pro 14-core,14.2 inches,3024 x 1964,macOS Monterey 12,Apple,MKGP3LL/A,3.5 pounds,4.8,929
2499,2499,Apple M1 Pro,Apple M1 Pro,16 gigabytes,1000 gigabytes,Apple M1 Pro 16-core,14.2 inches,3024 x 1964,macOS Monterey 12,Apple,MKGQ3LL/A,3.5 pounds,4.9,304
1999,1999,Apple M1 Pro,Apple M1 Pro,16 gigabytes,512 gigabytes,Apple M1 Pro 14-core,14.2 inches,3024 x 1964,macOS Monterey 12,Apple,MKGR3LL/A,3.5 pounds,4.8,929
2499,2499,Apple M1 Pro,Apple M1 Pro,16 gigabytes,1000 gigabytes,Apple M1 Pro 16-core,14.2 inches,3024 x 1964,macOS Monterey 12,Apple,MKGT3LL/A,3.5 pounds,4.9,304
